task	act	H	depth	seed	method	float_acc	quant_acc	best_acc_int8
XOR	C19_rho8	16	1	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	123	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	123	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	16	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	16	1	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	16	1	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	16	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	16	1	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	16	1	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	16	1	123	B_greedy_only	0.7500	0.7500	0.7500
XOR	ReLU	16	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	16	1	123	D_greedy+bp_last	0.7500	0.7500	0.7500
XOR	ReLU	16	1	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	16	1	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	16	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	16	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	123	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	16	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	16	2	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	16	2	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	16	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	16	2	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	16	2	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	16	2	123	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	16	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	16	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	16	2	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	16	2	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	16	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	16	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	123	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	123	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	32	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	32	1	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	1	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	1	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	32	1	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	1	123	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	1	123	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	32	1	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	1	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	123	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	32	2	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	2	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	2	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	32	2	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	2	123	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	32	2	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	2	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	42	B_greedy_only	0.8000	0.8000	0.8000
ADD4	C19_rho8	16	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	42	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	C19_rho8	16	1	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	123	B_greedy_only	0.7200	0.7200	0.7200
ADD4	C19_rho8	16	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	123	D_greedy+bp_last	0.8400	0.8400	0.8400
ADD4	C19_rho8	16	1	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	7	B_greedy_only	0.8800	0.8800	0.8800
ADD4	C19_rho8	16	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	7	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	ReLU	16	1	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	42	B_greedy_only	0.8800	0.8800	0.8800
ADD4	ReLU	16	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	42	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	ReLU	16	1	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	123	B_greedy_only	0.8400	0.8400	0.8400
ADD4	ReLU	16	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	123	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	ReLU	16	1	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	7	B_greedy_only	0.9200	0.9200	0.9200
ADD4	ReLU	16	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	42	B_greedy_only	0.7200	0.7200	0.7200
ADD4	C19_rho8	16	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	42	D_greedy+bp_last	0.8400	0.8400	0.8400
ADD4	C19_rho8	16	2	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	123	B_greedy_only	0.7200	0.7200	0.7200
ADD4	C19_rho8	16	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	123	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	C19_rho8	16	2	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	7	B_greedy_only	0.8000	0.8000	0.8000
ADD4	C19_rho8	16	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	42	B_greedy_only	0.8800	0.8800	0.8800
ADD4	ReLU	16	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	42	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	ReLU	16	2	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	123	B_greedy_only	0.9200	0.9200	0.9200
ADD4	ReLU	16	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	7	B_greedy_only	0.9200	0.9200	0.9200
ADD4	ReLU	16	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	42	B_greedy_only	0.9200	0.9200	0.9200
ADD4	C19_rho8	32	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	42	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	123	B_greedy_only	0.8800	0.8800	0.8800
ADD4	C19_rho8	32	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	123	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	7	B_greedy_only	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	42	B_greedy_only	0.8800	0.8800	0.8800
ADD4	ReLU	32	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	42	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	123	B_greedy_only	0.9600	0.9600	0.9600
ADD4	ReLU	32	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	123	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	7	B_greedy_only	0.9200	0.9200	0.9200
ADD4	ReLU	32	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	2	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	2	42	B_greedy_only	0.9200	0.9200	0.9200
ADD4	C19_rho8	32	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	2	42	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	2	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	2	123	B_greedy_only	0.8000	0.8000	0.8000
ADD4	C19_rho8	32	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	2	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	2	7	B_greedy_only	0.8400	0.8400	0.8400
ADD4	C19_rho8	32	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	2	7	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	ReLU	32	2	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	32	2	42	B_greedy_only	0.9600	0.9600	0.9600
ADD4	ReLU	32	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	32	2	42	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	32	2	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	32	2	123	B_greedy_only	0.8800	0.8800	0.8800
ADD4	ReLU	32	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	32	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	32	2	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	32	2	7	B_greedy_only	0.9600	0.9600	0.9600
ADD4	ReLU	32	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	32	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
MUL4	C19_rho8	16	2	42	A_std_backprop	0.6094	0.6055	0.6055
MUL4	C19_rho8	16	2	42	B_greedy_only	0.2461	0.2461	0.2461
MUL4	C19_rho8	16	2	42	C_greedy+bp_all	0.5742	0.5586	0.5586
MUL4	C19_rho8	16	2	42	D_greedy+bp_last	0.3242	0.3242	0.3242
MUL4	C19_rho8	16	2	123	A_std_backprop	0.6797	0.6562	0.6562
MUL4	C19_rho8	16	2	123	B_greedy_only	0.2227	0.2227	0.2227
MUL4	C19_rho8	16	2	123	C_greedy+bp_all	0.5586	0.5625	0.5625
MUL4	C19_rho8	16	2	123	D_greedy+bp_last	0.3164	0.3164	0.3164
MUL4	C19_rho8	16	2	7	A_std_backprop	0.6367	0.6328	0.6328
MUL4	C19_rho8	16	2	7	B_greedy_only	0.2148	0.2148	0.2148
MUL4	C19_rho8	16	2	7	C_greedy+bp_all	0.5781	0.5703	0.5703
MUL4	C19_rho8	16	2	7	D_greedy+bp_last	0.2812	0.2812	0.2812
MUL4	ReLU	16	2	42	A_std_backprop	1.0000	1.0000	1.0000
MUL4	ReLU	16	2	42	B_greedy_only	0.3047	0.3047	0.3047
MUL4	ReLU	16	2	42	C_greedy+bp_all	0.9531	0.9453	0.9453
MUL4	ReLU	16	2	42	D_greedy+bp_last	0.3320	0.3398	0.3398
MUL4	ReLU	16	2	123	A_std_backprop	1.0000	1.0000	1.0000
MUL4	ReLU	16	2	123	B_greedy_only	0.3047	0.3047	0.3047
MUL4	ReLU	16	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
MUL4	ReLU	16	2	123	D_greedy+bp_last	0.4375	0.4414	0.4414
MUL4	ReLU	16	2	7	A_std_backprop	1.0000	1.0000	1.0000
MUL4	ReLU	16	2	7	B_greedy_only	0.3555	0.3555	0.3555
MUL4	ReLU	16	2	7	C_greedy+bp_all	0.9648	0.9609	0.9609
MUL4	ReLU	16	2	7	D_greedy+bp_last	0.3750	0.3672	0.3672
MUL4	C19_rho8	32	2	42	A_std_backprop	0.8906	0.8867	0.8867
MUL4	C19_rho8	32	2	42	B_greedy_only	0.3125	0.3125	0.3125
MUL4	C19_rho8	32	2	42	C_greedy+bp_all	0.8242	0.8281	0.8281
MUL4	C19_rho8	32	2	42	D_greedy+bp_last	0.4102	0.4023	0.4023
MUL4	C19_rho8	32	2	123	A_std_backprop	0.9297	0.9297	0.9297
MUL4	C19_rho8	32	2	123	B_greedy_only	0.2773	0.2773	0.2773
MUL4	C19_rho8	32	2	123	C_greedy+bp_all	0.8281	0.8359	0.8359
MUL4	C19_rho8	32	2	123	D_greedy+bp_last	0.3633	0.3750	0.3750
MUL4	C19_rho8	32	2	7	A_std_backprop	0.9258	0.9258	0.9258
MUL4	C19_rho8	32	2	7	B_greedy_only	0.2930	0.2930	0.2930
MUL4	C19_rho8	32	2	7	C_greedy+bp_all	0.8242	0.8398	0.8398
MUL4	C19_rho8	32	2	7	D_greedy+bp_last	0.4609	0.4492	0.4492
MUL4	ReLU	32	2	42	A_std_backprop	1.0000	1.0000	1.0000
MUL4	ReLU	32	2	42	B_greedy_only	0.3711	0.3711	0.3711
MUL4	ReLU	32	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
MUL4	ReLU	32	2	42	D_greedy+bp_last	0.5469	0.5430	0.5430
MUL4	ReLU	32	2	123	A_std_backprop	1.0000	1.0000	1.0000
MUL4	ReLU	32	2	123	B_greedy_only	0.2891	0.2891	0.2891
MUL4	ReLU	32	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
MUL4	ReLU	32	2	123	D_greedy+bp_last	0.4219	0.4219	0.4219
MUL4	ReLU	32	2	7	A_std_backprop	1.0000	1.0000	1.0000
MUL4	ReLU	32	2	7	B_greedy_only	0.3047	0.3047	0.3047
MUL4	ReLU	32	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
MUL4	ReLU	32	2	7	D_greedy+bp_last	0.4258	0.4180	0.4180
