task	act	H	depth	target_type	float_acc	quant_acc	greedy_acc	quant_drop	greedy_vs_quant
XOR	C19_rho8	8	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	8	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	8	1	random_proj	1.0000	1.0000	0.7500	0.0000	-0.2500
XOR	ReLU	8	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	8	2	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	8	2	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	8	2	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	8	2	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	8	3	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	8	3	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	8	3	random_proj	0.7500	0.7500	1.0000	0.0000	0.2500
XOR	ReLU	8	3	teacher	0.7500	0.7500	0.7500	0.0000	0.0000
XOR	C19_rho8	16	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	16	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	16	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	16	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	16	2	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	16	2	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	16	2	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	16	2	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	16	3	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	16	3	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	16	3	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	16	3	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	32	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	32	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	32	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	32	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	32	2	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	32	2	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	32	2	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	32	2	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	32	3	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	32	3	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	32	3	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	32	3	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
ADD4	C19_rho8	8	1	random_proj	0.1200	0.1200	0.6000	0.0000	0.4800
ADD4	C19_rho8	8	1	teacher	0.1200	0.1200	0.3200	0.0000	0.2000
ADD4	ReLU	8	1	random_proj	0.2000	0.2000	0.4000	0.0000	0.2000
ADD4	ReLU	8	1	teacher	0.2000	0.2000	0.0800	0.0000	-0.1200
ADD4	C19_rho8	8	2	random_proj	0.0400	0.0400	0.8400	0.0000	0.8000
ADD4	C19_rho8	8	2	teacher	0.0400	0.0400	0.0800	0.0000	0.0400
ADD4	ReLU	8	2	random_proj	0.2000	0.2000	0.2800	0.0000	0.0800
ADD4	ReLU	8	2	teacher	0.2000	0.2000	0.0800	0.0000	-0.1200
ADD4	C19_rho8	8	3	random_proj	0.0400	0.0400	0.7200	0.0000	0.6800
ADD4	C19_rho8	8	3	teacher	0.0400	0.0400	0.0800	0.0000	0.0400
ADD4	ReLU	8	3	random_proj	0.2000	0.2000	0.4400	0.0000	0.2400
ADD4	ReLU	8	3	teacher	0.2000	0.2000	0.0800	0.0000	-0.1200
ADD4	C19_rho8	16	1	random_proj	0.0400	0.0400	0.8400	0.0000	0.8000
ADD4	C19_rho8	16	1	teacher	0.0400	0.0400	0.4800	0.0000	0.4400
ADD4	ReLU	16	1	random_proj	0.3200	0.3200	0.4000	0.0000	0.0800
ADD4	ReLU	16	1	teacher	0.3200	0.3200	0.2800	0.0000	-0.0400
ADD4	C19_rho8	16	2	random_proj	0.0400	0.0400	0.6800	0.0000	0.6400
ADD4	C19_rho8	16	2	teacher	0.0400	0.0400	0.0800	0.0000	0.0400
ADD4	ReLU	16	2	random_proj	0.2000	0.2000	0.4800	0.0000	0.2800
ADD4	ReLU	16	2	teacher	0.2000	0.2000	0.0800	0.0000	-0.1200
ADD4	C19_rho8	16	3	random_proj	0.0400	0.0400	0.6800	0.0000	0.6400
ADD4	C19_rho8	16	3	teacher	0.0400	0.0400	0.0800	0.0000	0.0400
ADD4	ReLU	16	3	random_proj	0.1200	0.1200	0.5200	0.0000	0.4000
ADD4	ReLU	16	3	teacher	0.1200	0.1200	0.2800	0.0000	0.1600
ADD4	C19_rho8	32	1	random_proj	0.0000	0.0000	0.7600	0.0000	0.7600
ADD4	C19_rho8	32	1	teacher	0.0000	0.0000	0.4400	0.0000	0.4400
ADD4	ReLU	32	1	random_proj	0.4800	0.4800	0.4800	0.0000	0.0000
ADD4	ReLU	32	1	teacher	0.4800	0.4800	0.4400	0.0000	-0.0400
ADD4	C19_rho8	32	2	random_proj	0.0400	0.0400	0.8000	0.0000	0.7600
ADD4	C19_rho8	32	2	teacher	0.0400	0.0400	0.0800	0.0000	0.0400
ADD4	ReLU	32	2	random_proj	0.2000	0.2000	0.6000	0.0000	0.4000
ADD4	ReLU	32	2	teacher	0.2000	0.2000	0.1600	0.0000	-0.0400
ADD4	C19_rho8	32	3	random_proj	0.0400	0.0400	0.9200	0.0000	0.8800
ADD4	C19_rho8	32	3	teacher	0.0400	0.0400	0.0800	0.0000	0.0400
ADD4	ReLU	32	3	random_proj	0.2000	0.2000	0.8800	0.0000	0.6800
ADD4	ReLU	32	3	teacher	0.2000	0.2000	0.0800	0.0000	-0.1200
MUL4	C19_rho8	8	1	random_proj	0.0508	0.0508	0.1172	0.0000	0.0664
MUL4	C19_rho8	8	1	teacher	0.0508	0.0508	0.0742	0.0000	0.0234
MUL4	ReLU	8	1	random_proj	0.1758	0.1680	0.0938	0.0078	-0.0742
MUL4	ReLU	8	1	teacher	0.1758	0.1680	0.0898	0.0078	-0.0781
MUL4	C19_rho8	8	2	random_proj	0.1211	0.1211	0.0781	0.0000	-0.0430
MUL4	C19_rho8	8	2	teacher	0.1211	0.1211	0.1211	0.0000	0.0000
MUL4	ReLU	8	2	random_proj	0.1445	0.1445	0.1328	0.0000	-0.0117
MUL4	ReLU	8	2	teacher	0.1445	0.1445	0.1328	0.0000	-0.0117
MUL4	C19_rho8	8	3	random_proj	0.1211	0.1211	0.0859	0.0000	-0.0352
MUL4	C19_rho8	8	3	teacher	0.1211	0.1211	0.1211	0.0000	0.0000
MUL4	ReLU	8	3	random_proj	0.1211	0.1211	0.1211	0.0000	0.0000
MUL4	ReLU	8	3	teacher	0.1211	0.1211	0.1211	0.0000	0.0000
MUL4	C19_rho8	16	1	random_proj	0.1289	0.0977	0.0430	0.0312	-0.0547
MUL4	C19_rho8	16	1	teacher	0.1289	0.0977	0.1055	0.0312	0.0078
MUL4	ReLU	16	1	random_proj	0.2812	0.2734	0.1211	0.0078	-0.1523
MUL4	ReLU	16	1	teacher	0.2812	0.2734	0.1133	0.0078	-0.1602
MUL4	C19_rho8	16	2	random_proj	0.1211	0.1211	0.0430	0.0000	-0.0781
MUL4	C19_rho8	16	2	teacher	0.1211	0.1211	0.1211	0.0000	0.0000
MUL4	ReLU	16	2	random_proj	0.1328	0.1328	0.1562	0.0000	0.0234
MUL4	ReLU	16	2	teacher	0.1328	0.1328	0.1562	0.0000	0.0234
MUL4	C19_rho8	16	3	random_proj	0.1211	0.1211	0.0469	0.0000	-0.0742
MUL4	C19_rho8	16	3	teacher	0.1211	0.1211	0.1211	0.0000	0.0000
MUL4	ReLU	16	3	random_proj	0.1211	0.1211	0.0859	0.0000	-0.0352
MUL4	ReLU	16	3	teacher	0.1211	0.1211	0.1211	0.0000	0.0000
MUL4	C19_rho8	32	1	random_proj	0.0742	0.0742	0.0586	0.0000	-0.0156
MUL4	C19_rho8	32	1	teacher	0.0742	0.0742	0.0977	0.0000	0.0234
MUL4	ReLU	32	1	random_proj	0.6680	0.6641	0.1406	0.0039	-0.5234
MUL4	ReLU	32	1	teacher	0.6680	0.6641	0.1211	0.0039	-0.5430
MUL4	C19_rho8	32	2	random_proj	0.1211	0.1211	0.0938	0.0000	-0.0273
MUL4	C19_rho8	32	2	teacher	0.1211	0.1211	0.1211	0.0000	0.0000
MUL4	ReLU	32	2	random_proj	0.0938	0.1172	0.1406	-0.0234	0.0234
MUL4	ReLU	32	2	teacher	0.0938	0.1172	0.1562	-0.0234	0.0391
MUL4	C19_rho8	32	3	random_proj	0.1211	0.1211	0.0508	0.0000	-0.0703
MUL4	C19_rho8	32	3	teacher	0.1211	0.1211	0.1211	0.0000	0.0000
MUL4	ReLU	32	3	random_proj	0.0742	0.0742	0.0859	0.0000	0.0117
MUL4	ReLU	32	3	teacher	0.0742	0.0742	0.0234	0.0000	-0.0508
