H,accept_epsilon,accept_policy,accept_rate_pct,accept_ties,alive_frac_mean,arm,candidate_log,checkpoint,configured_steps,edges,expected_candidate_rows,final_acc,fixture,horizon_steps,input_scatter,jackpot,neutral_p,panel_summary,panel_timeseries,panel_window_size,peak_acc,phase,phi_dim,run_dir,run_id,seed,ticks,unique_preds,wall_clock_s
128,0.0,strict,22.2449,False,0.666456,D1_K1_STRICT,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_42/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_42/final.ckpt,20000,1146,20000,0.032,mutual_inhibition,20000,False,1,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_42/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_42/panel_timeseries.csv,2000,0.046,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_42,phase_d1_mutual_inhibition_D1_K1_STRICT_H128_seed42,42,6,3,169.801
128,0.0,strict,24.1493,False,0.672152,D1_K1_STRICT,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_1042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_1042/final.ckpt,20000,1146,20000,0.029,mutual_inhibition,20000,False,1,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_1042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_1042/panel_timeseries.csv,2000,0.032,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_1042,phase_d1_mutual_inhibition_D1_K1_STRICT_H128_seed1042,1042,6,1,183.422
128,0.0,strict,23.2101,False,0.727848,D1_K1_STRICT,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_2042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_2042/final.ckpt,20000,1146,20000,0.042,mutual_inhibition,20000,False,1,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_2042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_2042/panel_timeseries.csv,2000,0.052,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_STRICT/seed_2042,phase_d1_mutual_inhibition_D1_K1_STRICT_H128_seed2042,2042,6,1,179.813
128,0.0,zero-p,44.8103,False,0.582278,D1_K1_ZERO_P10,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_42/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_42/final.ckpt,20000,1146,20000,0.014,mutual_inhibition,20000,False,1,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_42/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_42/panel_timeseries.csv,2000,0.026,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_42,phase_d1_mutual_inhibition_D1_K1_ZERO_P10_H128_seed42,42,6,1,156.417
128,0.0,zero-p,41.9743,False,0.627848,D1_K1_ZERO_P10,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_1042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_1042/final.ckpt,20000,1146,20000,0.026,mutual_inhibition,20000,False,1,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_1042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_1042/panel_timeseries.csv,2000,0.034,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_1042,phase_d1_mutual_inhibition_D1_K1_ZERO_P10_H128_seed1042,1042,6,2,175.198
128,0.0,zero-p,43.6852,False,0.651266,D1_K1_ZERO_P10,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_2042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_2042/final.ckpt,20000,1144,20000,0.042,mutual_inhibition,20000,False,1,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_2042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_2042/panel_timeseries.csv,2000,0.051,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K1_ZERO_P10/seed_2042,phase_d1_mutual_inhibition_D1_K1_ZERO_P10_H128_seed2042,2042,6,1,179.837
128,0.0,strict,48.2238,False,0.738608,D1_K3_STRICT,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_42/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_42/final.ckpt,20000,1145,60000,0.015,mutual_inhibition,20000,False,3,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_42/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_42/panel_timeseries.csv,2000,0.027,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_42,phase_d1_mutual_inhibition_D1_K3_STRICT_H128_seed42,42,6,2,291.681
128,0.0,strict,47.4285,False,0.712025,D1_K3_STRICT,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_1042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_1042/final.ckpt,20000,1146,60000,0.023,mutual_inhibition,20000,False,3,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_1042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_1042/panel_timeseries.csv,2000,0.031,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_1042,phase_d1_mutual_inhibition_D1_K3_STRICT_H128_seed1042,1042,6,2,293.769
128,0.0,strict,48.6542,False,0.71519,D1_K3_STRICT,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_2042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_2042/final.ckpt,20000,1145,60000,0.042,mutual_inhibition,20000,False,3,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_2042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_2042/panel_timeseries.csv,2000,0.048,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_STRICT/seed_2042,phase_d1_mutual_inhibition_D1_K3_STRICT_H128_seed2042,2042,6,1,296.059
128,0.0,zero-p,74.1167,False,0.681646,D1_K3_ZERO_P10,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_42/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_42/final.ckpt,20000,1146,60000,0.045,mutual_inhibition,20000,False,3,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_42/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_42/panel_timeseries.csv,2000,0.045,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_42,phase_d1_mutual_inhibition_D1_K3_ZERO_P10_H128_seed42,42,6,1,283.757
128,0.0,zero-p,71.7566,False,0.649367,D1_K3_ZERO_P10,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_1042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_1042/final.ckpt,20000,1146,60000,0.036,mutual_inhibition,20000,False,3,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_1042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_1042/panel_timeseries.csv,2000,0.051,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_1042,phase_d1_mutual_inhibition_D1_K3_ZERO_P10_H128_seed1042,1042,6,1,258.557
128,0.0,zero-p,74.3769,False,0.779114,D1_K3_ZERO_P10,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_2042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_2042/final.ckpt,20000,1144,60000,0.041,mutual_inhibition,20000,False,3,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_2042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_2042/panel_timeseries.csv,2000,0.051,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K3_ZERO_P10/seed_2042,phase_d1_mutual_inhibition_D1_K3_ZERO_P10_H128_seed2042,2042,6,1,290.566
128,0.0,strict,78.125,False,0.713924,D1_K9_STRICT,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_42/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_42/final.ckpt,20000,1146,180000,0.02,mutual_inhibition,20000,False,9,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_42/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_42/panel_timeseries.csv,2000,0.046,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_42,phase_d1_mutual_inhibition_D1_K9_STRICT_H128_seed42,42,6,2,633.231
128,0.0,strict,77.505,False,0.718987,D1_K9_STRICT,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_1042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_1042/final.ckpt,20000,1145,180000,0.024,mutual_inhibition,20000,False,9,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_1042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_1042/panel_timeseries.csv,2000,0.031,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_1042,phase_d1_mutual_inhibition_D1_K9_STRICT_H128_seed1042,1042,6,2,628.937
128,0.0,strict,77.19,False,0.740506,D1_K9_STRICT,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_2042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_2042/final.ckpt,20000,1146,180000,0.043,mutual_inhibition,20000,False,9,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_2042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_2042/panel_timeseries.csv,2000,0.049,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_STRICT/seed_2042,phase_d1_mutual_inhibition_D1_K9_STRICT_H128_seed2042,2042,6,1,622.92
128,0.0,zero-p,96.6,False,0.703797,D1_K9_ZERO_P10,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_42/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_42/final.ckpt,20000,1146,180000,0.047,mutual_inhibition,20000,False,9,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_42/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_42/panel_timeseries.csv,2000,0.049,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_42,phase_d1_mutual_inhibition_D1_K9_ZERO_P10_H128_seed42,42,6,1,627.111
128,0.0,zero-p,95.035,False,0.696203,D1_K9_ZERO_P10,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_1042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_1042/final.ckpt,20000,1146,180000,0.029,mutual_inhibition,20000,False,9,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_1042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_1042/panel_timeseries.csv,2000,0.041,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_1042,phase_d1_mutual_inhibition_D1_K9_ZERO_P10_H128_seed1042,1042,6,3,632.855
128,0.0,zero-p,96.435,False,0.844304,D1_K9_ZERO_P10,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_2042/candidates.csv,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_2042/final.ckpt,20000,1146,180000,0.039,mutual_inhibition,20000,False,9,1.0,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_2042/panel_summary.json,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_2042/panel_timeseries.csv,2000,0.051,D1,79,/home/user/VRAXION/output/d1_h128_quick_20260425_194650/D1_K9_ZERO_P10/seed_2042,phase_d1_mutual_inhibition_D1_K9_ZERO_P10_H128_seed2042,2042,6,2,626.185
