step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.549426,8.0062,0.002685,0.2628,0.000020,2.3
2,5.551566,8.0092,0.002919,0.2636,0.000040,4.7
3,5.552328,8.0103,0.001194,0.2754,0.000060,7.5
4,5.546977,8.0026,0.001709,0.2674,0.000080,10.3
5,5.541652,7.9949,0.004447,0.2712,0.000100,12.9
6,5.543062,7.9970,0.002734,0.2624,0.000120,15.5
7,5.544055,7.9984,0.004442,0.2722,0.000140,18.2
8,5.535876,7.9866,0.003595,0.2632,0.000160,20.8
9,5.533677,7.9834,0.004438,0.2571,0.000180,23.7
10,5.524719,7.9705,0.003930,0.2637,0.000200,26.3
11,5.525349,7.9714,0.004276,0.2600,0.000220,29.0
12,5.515491,7.9572,0.006499,0.2531,0.000240,31.7
13,5.516086,7.9581,0.006663,0.2560,0.000260,34.3
14,5.508307,7.9468,0.005644,0.2561,0.000280,37.0
15,5.496003,7.9291,0.008209,0.2552,0.000300,39.9
16,5.490668,7.9214,0.030785,0.2575,0.000320,42.5
17,5.482128,7.9091,0.045664,0.2598,0.000340,45.0
18,5.473699,7.8969,0.050402,0.2623,0.000360,47.6
19,5.464575,7.8837,0.065711,0.2643,0.000380,50.4
20,5.464315,7.8834,0.074722,0.2597,0.000400,53.0
21,5.454302,7.8689,0.078341,0.2646,0.000420,56.0
22,5.439496,7.8476,0.079870,0.2740,0.000440,58.7
23,5.426824,7.8293,0.082009,0.2793,0.000460,61.4
24,5.411367,7.8070,0.087818,0.2822,0.000480,64.1
25,5.410421,7.8056,0.101724,0.2935,0.000500,66.7
26,5.396791,7.7859,0.107969,0.2961,0.000520,69.3
27,5.372310,7.7506,0.119986,0.3024,0.000540,72.1
28,5.360503,7.7336,0.118913,0.2991,0.000560,74.8
29,5.353331,7.7233,0.121943,0.3152,0.000580,77.4
30,5.346621,7.7136,0.126943,0.2993,0.000600,80.0
31,5.323147,7.6797,0.131251,0.3085,0.000620,82.6
32,5.310029,7.6608,0.129087,0.3216,0.000640,85.2
33,5.298769,7.6445,0.129374,0.3196,0.000660,88.1
34,5.292403,7.6354,0.129848,0.3257,0.000680,90.8
35,5.270111,7.6032,0.133333,0.3137,0.000700,93.4
36,5.237608,7.5563,0.133129,0.3108,0.000720,96.2
37,5.218932,7.5294,0.132240,0.3251,0.000740,98.8
38,5.218071,7.5281,0.131520,0.3139,0.000760,101.6
39,5.193765,7.4930,0.130398,0.3142,0.000780,104.3
40,5.188215,7.4850,0.130591,0.3109,0.000800,107.3
41,5.153958,7.4356,0.134119,0.3216,0.000820,110.5
42,5.154627,7.4366,0.135625,0.3038,0.000840,113.1
43,5.123134,7.3911,0.133811,0.3182,0.000860,115.9
44,5.109887,7.3720,0.133333,0.3089,0.000880,118.8
45,5.092478,7.3469,0.133982,0.3120,0.000900,121.5
46,5.072081,7.3175,0.139559,0.3039,0.000920,124.3
47,5.055304,7.2933,0.133436,0.3086,0.000940,127.0
48,5.046054,7.2799,0.128613,0.3012,0.000960,129.7
49,5.026777,7.2521,0.130568,0.2939,0.000980,132.4
50,5.004013,7.2193,0.131007,0.2960,0.001000,135.1
51,5.002644,7.2173,0.130836,0.2881,0.001000,137.9
52,4.972842,7.1743,0.131862,0.2897,0.001000,140.8
53,4.954483,7.1478,0.135144,0.2935,0.001000,143.5
54,4.947730,7.1381,0.131691,0.2896,0.001000,146.3
55,4.929118,7.1112,0.134290,0.2876,0.001000,149.1
56,4.902617,7.0730,0.135112,0.2818,0.001000,151.8
57,4.889568,7.0542,0.134974,0.2770,0.001000,154.5
58,4.894238,7.0609,0.135486,0.2775,0.001000,157.2
59,4.869940,7.0259,0.136138,0.2648,0.001000,159.9
60,4.846014,6.9913,0.133811,0.2591,0.001000,162.7
61,4.836093,6.9770,0.131763,0.2483,0.001000,165.3
62,4.816247,6.9484,0.133915,0.2397,0.001000,168.0
63,4.814196,6.9454,0.129715,0.2281,0.001000,170.8
64,4.795747,6.9188,0.133744,0.2207,0.001000,173.6
65,4.798736,6.9231,0.132547,0.2159,0.001000,176.2
66,4.771314,6.8836,0.133265,0.2058,0.001000,178.9
67,4.760767,6.8684,0.136371,0.2183,0.001000,181.6
68,4.756499,6.8622,0.139017,0.2327,0.001000,184.3
69,4.762275,6.8705,0.134323,0.2108,0.001000,187.1
70,4.759925,6.8671,0.131277,0.2040,0.001000,190.0
71,4.733834,6.8295,0.138250,0.1871,0.001000,192.7
72,4.730840,6.8252,0.136535,0.1702,0.001000,195.4
73,4.721718,6.8120,0.140756,0.1715,0.001000,198.0
74,4.713666,6.8004,0.140387,0.1761,0.001000,200.6
75,4.708038,6.7923,0.139983,0.1864,0.001000,203.2
76,4.704899,6.7878,0.141928,0.1678,0.001000,206.2
77,4.695025,6.7735,0.139046,0.1644,0.001000,208.9
78,4.689512,6.7656,0.138272,0.1563,0.001000,211.6
79,4.678778,6.7501,0.143833,0.1829,0.001000,214.4
80,4.683899,6.7575,0.138504,0.1823,0.001000,217.1
81,4.689235,6.7652,0.141637,0.1805,0.001000,219.8
82,4.679444,6.7510,0.137848,0.1669,0.001000,222.6
83,4.662271,6.7263,0.144519,0.1576,0.001000,225.4
84,4.653762,6.7140,0.145929,0.1447,0.001000,228.1
85,4.655836,6.7170,0.142491,0.1475,0.001000,230.8
86,4.671853,6.7401,0.144450,0.1510,0.001000,233.5
87,4.659822,6.7227,0.144075,0.1463,0.001000,236.2
88,4.665372,6.7307,0.145694,0.1530,0.001000,239.1
89,4.651838,6.7112,0.146304,0.1469,0.001000,241.7
90,4.653955,6.7143,0.145641,0.1449,0.001000,244.4
91,4.646105,6.7029,0.146783,0.1460,0.001000,247.1
92,4.645336,6.7018,0.145136,0.1388,0.001000,249.7
93,4.622538,6.6689,0.144052,0.1387,0.001000,252.4
94,4.636999,6.6898,0.144883,0.1314,0.001000,255.3
95,4.633583,6.6849,0.142149,0.1310,0.001000,258.0
96,4.630777,6.6808,0.142416,0.1370,0.001000,260.7
97,4.629233,6.6786,0.144005,0.1435,0.001000,263.3
98,4.634023,6.6855,0.144130,0.1396,0.001000,266.0
99,4.618488,6.6631,0.145610,0.1438,0.001000,268.6
100,4.614841,6.6578,0.148091,0.1419,0.001000,271.4
101,4.617486,6.6616,0.147255,0.1473,0.001000,274.0
102,4.640240,6.6945,0.146187,0.1406,0.001000,276.7
103,4.631632,6.6821,0.152230,0.1487,0.001000,279.5
104,4.614590,6.6575,0.144667,0.1305,0.001000,282.2
105,4.609339,6.6499,0.146462,0.1255,0.001000,284.9
106,4.612678,6.6547,0.150146,0.1256,0.001000,287.8
107,4.615485,6.6588,0.148586,0.1192,0.001000,290.4
108,4.596399,6.6312,0.151050,0.1241,0.001000,293.1
109,4.599608,6.6359,0.150538,0.1170,0.001000,295.8
110,4.597933,6.6334,0.156116,0.1224,0.001000,298.5
111,4.613627,6.6561,0.145929,0.1236,0.001000,301.4
112,4.602206,6.6396,0.152200,0.1200,0.001000,304.3
113,4.592563,6.6257,0.149136,0.1189,0.001000,307.0
114,4.591490,6.6241,0.149172,0.1205,0.001000,309.7
115,4.601375,6.6384,0.150863,0.1156,0.001000,312.6
116,4.605980,6.6450,0.151141,0.1258,0.001000,315.3
117,4.600829,6.6376,0.149496,0.1202,0.001000,318.0
118,4.586054,6.6163,0.151360,0.1184,0.001000,320.9
119,4.595267,6.6296,0.150814,0.1169,0.001000,323.6
120,4.575883,6.6016,0.152493,0.1181,0.001000,326.2
121,4.612693,6.6547,0.145598,0.1241,0.001000,329.0
122,4.568565,6.5911,0.152044,0.1195,0.001000,331.9
123,4.626711,6.6750,0.149496,0.1376,0.001000,334.6
124,4.589695,6.6216,0.152185,0.1240,0.001000,337.4
125,4.583753,6.6130,0.149649,0.1192,0.001000,340.1
126,4.591105,6.6236,0.149786,0.1184,0.001000,342.8
127,4.603962,6.6421,0.151500,0.1225,0.001000,345.3
128,4.569425,6.5923,0.151531,0.1111,0.001000,347.9
129,4.586750,6.6173,0.151546,0.1180,0.001000,350.6
130,4.578232,6.6050,0.155635,0.1162,0.001000,353.4
131,4.576203,6.6021,0.159540,0.1225,0.001000,356.6
132,4.590320,6.6225,0.149002,0.1118,0.001000,359.5
133,4.566069,6.5875,0.154609,0.1171,0.001000,362.3
134,4.581135,6.6092,0.150985,0.1151,0.001000,365.0
135,4.591639,6.6244,0.150026,0.1185,0.001000,367.7
136,4.570738,6.5942,0.153056,0.1157,0.001000,370.6
137,4.570244,6.5935,0.147577,0.1182,0.001000,373.2
138,4.559048,6.5773,0.155624,0.1124,0.001000,375.9
139,4.562049,6.5817,0.153439,0.1055,0.001000,378.5
140,4.537409,6.5461,0.156298,0.1164,0.001000,381.2
141,4.584268,6.6137,0.149307,0.1237,0.001000,383.8
142,4.548640,6.5623,0.155818,0.1127,0.001000,386.7
143,4.577235,6.6036,0.147235,0.1233,0.001000,389.5
144,4.567630,6.5897,0.152714,0.1088,0.001000,392.2
145,4.552181,6.5674,0.153268,0.1137,0.001000,395.0
146,4.560330,6.5792,0.153701,0.1119,0.001000,397.8
147,4.565319,6.5864,0.154096,0.1198,0.001000,400.4
148,4.553686,6.5696,0.155305,0.1177,0.001000,403.3
149,4.553639,6.5695,0.155282,0.1131,0.001000,406.0
150,4.559920,6.5786,0.151375,0.1169,0.001000,408.6
151,4.548878,6.5627,0.153426,0.1207,0.001000,411.4
152,4.536903,6.5454,0.155430,0.1092,0.001000,414.1
153,4.559666,6.5782,0.152913,0.1226,0.001000,416.8
154,4.563003,6.5830,0.153925,0.1138,0.001000,419.7
155,4.568792,6.5914,0.152029,0.1067,0.001000,422.4
156,4.561797,6.5813,0.157013,0.1267,0.001000,425.1
157,4.566331,6.5878,0.155453,0.1127,0.001000,427.8
158,4.549742,6.5639,0.150814,0.1192,0.001000,430.6
159,4.554498,6.5708,0.155487,0.1237,0.001000,433.4
160,4.565013,6.5859,0.152029,0.1258,0.001000,436.2
161,4.551267,6.5661,0.154572,0.1228,0.001000,438.9
162,4.557152,6.5746,0.151515,0.1142,0.001000,441.6
163,4.559012,6.5773,0.154109,0.1139,0.001000,444.3
164,4.566801,6.5885,0.154719,0.1131,0.001000,447.0
165,4.559809,6.5784,0.152742,0.1218,0.001000,449.8
166,4.586462,6.6169,0.149082,0.1229,0.001000,452.7
167,4.553022,6.5686,0.149991,0.1066,0.001000,455.6
168,4.553493,6.5693,0.150659,0.1151,0.001000,458.5
169,4.547523,6.5607,0.157194,0.1142,0.001000,461.2
170,4.553449,6.5693,0.152871,0.1171,0.001000,463.9
171,4.559850,6.5785,0.148831,0.1194,0.001000,466.6
172,4.557134,6.5746,0.158183,0.1179,0.001000,469.4
173,4.561103,6.5803,0.154070,0.1157,0.001000,472.1
174,4.540934,6.5512,0.154438,0.1110,0.001000,474.8
175,4.550825,6.5655,0.153714,0.1108,0.001000,477.6
176,4.548170,6.5616,0.155955,0.1104,0.001000,480.4
177,4.548497,6.5621,0.152979,0.1175,0.001000,483.2
178,4.555391,6.5721,0.155217,0.1047,0.001000,485.9
179,4.543169,6.5544,0.153741,0.1029,0.001000,488.8
180,4.539204,6.5487,0.154463,0.1161,0.001000,491.6
181,4.549324,6.5633,0.152927,0.1037,0.001000,494.3
182,4.544170,6.5559,0.152528,0.1075,0.001000,497.1
183,4.552674,6.5681,0.154792,0.0991,0.001000,499.7
184,4.526684,6.5306,0.156662,0.1143,0.001000,502.5
185,4.548028,6.5614,0.153741,0.1078,0.001000,505.5
186,4.549363,6.5634,0.151888,0.1045,0.001000,508.2
187,4.547822,6.5611,0.154267,0.0959,0.001000,510.9
188,4.551026,6.5658,0.150626,0.1040,0.001000,513.7
189,4.535128,6.5428,0.154305,0.1016,0.001000,516.3
190,4.539174,6.5487,0.152018,0.1085,0.001000,519.0
191,4.537027,6.5456,0.152070,0.0970,0.001000,521.8
192,4.529436,6.5346,0.160260,0.1016,0.001000,524.5
193,4.538252,6.5473,0.152571,0.1031,0.001000,527.3
194,4.539940,6.5498,0.154744,0.0988,0.001000,530.0
195,4.537670,6.5465,0.154975,0.1008,0.001000,532.7
196,4.527413,6.5317,0.153070,0.0999,0.001000,535.4
197,4.537780,6.5467,0.158021,0.0962,0.001000,538.3
198,4.539526,6.5492,0.156138,0.0986,0.001000,541.0
199,4.539501,6.5491,0.156682,0.0996,0.001000,543.8
200,4.527589,6.5320,0.155418,0.1166,0.001000,546.5
201,4.532426,6.5389,0.154634,0.1301,0.001000,549.3
202,4.529116,6.5342,0.152215,0.1156,0.001000,552.0
203,4.531031,6.5369,0.156843,0.1151,0.001000,554.8
204,4.530857,6.5367,0.153084,0.1088,0.001000,557.6
205,4.528416,6.5331,0.149803,0.1323,0.001000,560.4
206,4.532595,6.5392,0.149940,0.1611,0.001000,563.2
207,4.526653,6.5306,0.152771,0.1468,0.001000,565.9
208,4.531542,6.5377,0.155757,0.1077,0.001000,568.6
209,4.553389,6.5692,0.151526,0.1156,0.001000,571.4
210,4.537708,6.5466,0.148452,0.1223,0.001000,574.1
211,4.530488,6.5361,0.155977,0.1327,0.001000,576.9
212,4.542490,6.5534,0.147084,0.1312,0.001000,579.8
213,4.545133,6.5573,0.151034,0.1271,0.001000,582.7
214,4.542393,6.5533,0.156501,0.1254,0.001000,585.4
215,4.538918,6.5483,0.154963,0.1176,0.001000,588.4
216,4.540430,6.5505,0.151500,0.1019,0.001000,591.4
217,4.543489,6.5549,0.152415,0.1034,0.001000,594.2
218,4.526509,6.5304,0.152490,0.1139,0.001000,597.1
219,4.515146,6.5140,0.157598,0.1275,0.001000,599.8
220,4.514036,6.5124,0.155647,0.1100,0.001000,602.7
221,4.524003,6.5268,0.155988,0.1141,0.001000,605.6
222,4.522651,6.5248,0.154438,0.1061,0.001000,608.4
223,4.530221,6.5357,0.150992,0.1024,0.001000,611.2
224,4.514350,6.5129,0.154807,0.1071,0.001000,614.0
225,4.542311,6.5532,0.152699,0.1186,0.001000,616.7
226,4.527556,6.5319,0.157336,0.1130,0.001000,619.5
227,4.526618,6.5306,0.154963,0.0987,0.001000,622.5
228,4.534945,6.5426,0.158389,0.1080,0.001000,625.2
229,4.517941,6.5180,0.151732,0.1073,0.001000,628.0
230,4.523568,6.5262,0.156116,0.1000,0.001000,630.8
231,4.521645,6.5234,0.156170,0.0981,0.001000,633.5
232,4.515372,6.5143,0.155476,0.1122,0.001000,636.3
233,4.531169,6.5371,0.154609,0.1125,0.001000,639.2
234,4.525157,6.5284,0.157507,0.0985,0.001000,642.1
235,4.535565,6.5435,0.150708,0.1047,0.001000,645.0
236,4.523257,6.5257,0.157336,0.1049,0.001000,647.7
237,4.506484,6.5015,0.155829,0.1010,0.001000,650.7
238,4.513942,6.5123,0.159219,0.0960,0.001000,653.3
239,4.526607,6.5305,0.152899,0.0961,0.001000,656.4
240,4.515635,6.5147,0.154975,0.1006,0.001000,659.1
241,4.515827,6.5150,0.153583,0.1112,0.001000,662.0
242,4.529234,6.5343,0.152714,0.1018,0.001000,665.3
243,4.544349,6.5561,0.153781,0.1122,0.001000,668.2
244,4.538413,6.5476,0.151034,0.1194,0.001000,670.9
245,4.520529,6.5218,0.153556,0.1178,0.001000,673.9
246,4.529826,6.5352,0.151391,0.1138,0.001000,676.6
247,4.525824,6.5294,0.150179,0.1117,0.001000,679.4
248,4.544445,6.5563,0.151686,0.1054,0.001000,682.1
249,4.538592,6.5478,0.154293,0.1157,0.001000,684.8
250,4.508829,6.5049,0.161097,0.1056,0.001000,687.6
251,4.525856,6.5295,0.154768,0.1111,0.001000,690.7
252,4.516865,6.5165,0.155146,0.1040,0.001000,693.4
